               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.022788,           0.0065871,           0.0064531,             0.90869,             0.91393,             0.94444,             0.75237,            0.018952,            0.007366,            0.010162,           0.0022196,           0.0022196,           0.0022196
                  78,            0.019203,           0.0067488,           0.0064117,              0.9086,             0.91325,             0.93976,             0.77753,            0.015708,           0.0071605,             0.01061,           0.0021245,           0.0021245,           0.0021245
                  79,            0.018644,            0.006348,           0.0056489,             0.92909,             0.90926,             0.93765,             0.76992,            0.015711,           0.0070226,           0.0094885,           0.0020327,           0.0020327,           0.0020327
                  80,            0.019864,           0.0063702,            0.005931,             0.91059,             0.92079,             0.94466,             0.78495,            0.015891,           0.0069236,             0.00855,           0.0019443,           0.0019443,           0.0019443
                  81,            0.019647,           0.0060913,           0.0050835,             0.89594,             0.92053,             0.93508,             0.77437,            0.015715,           0.0071909,             0.00963,           0.0018594,           0.0018594,           0.0018594
                  82,            0.018638,            0.005848,           0.0045653,             0.90822,             0.91638,             0.95143,             0.77225,            0.015345,           0.0071703,           0.0090992,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019239,            0.006341,            0.004656,             0.91329,             0.90999,             0.95547,             0.77439,            0.017339,            0.007082,           0.0090202,           0.0017005,           0.0017005,           0.0017005
                  84,            0.018317,           0.0056604,           0.0045844,             0.93737,             0.89475,             0.95138,             0.80145,             0.01508,           0.0067506,           0.0087418,           0.0016267,           0.0016267,           0.0016267
                  85,            0.018467,           0.0059644,           0.0040538,             0.92184,             0.90452,             0.94725,              0.7944,             0.01552,           0.0067863,           0.0089353,           0.0015566,           0.0015566,           0.0015566
                  86,            0.017413,           0.0061168,           0.0041183,             0.93719,             0.90517,             0.94815,             0.80934,            0.014518,           0.0066536,           0.0083813,           0.0014905,           0.0014905,           0.0014905
                  87,            0.015518,           0.0055385,           0.0036606,             0.93269,             0.90507,             0.94733,             0.78433,            0.014574,           0.0066636,           0.0081591,           0.0014283,           0.0014283,           0.0014283
                  88,            0.017056,           0.0057101,            0.004078,             0.93768,             0.89681,             0.94648,             0.80506,             0.01392,           0.0065943,           0.0084887,           0.0013701,           0.0013701,           0.0013701
                  89,            0.015362,           0.0054746,           0.0035067,             0.91771,             0.93385,             0.94874,             0.82357,               0.014,           0.0064377,           0.0090278,            0.001316,            0.001316,            0.001316
                  90,            0.015869,           0.0054884,           0.0032145,             0.94534,             0.89613,             0.94555,             0.81634,            0.014177,           0.0064034,           0.0080743,            0.001266,            0.001266,            0.001266
                  91,            0.016111,           0.0057113,           0.0032534,             0.90597,             0.92149,             0.95063,             0.81928,            0.013334,           0.0063917,           0.0099072,           0.0012202,           0.0012202,           0.0012202
                  92,            0.016592,           0.0053632,             0.00299,              0.8751,             0.92693,             0.94545,             0.80207,            0.013683,            0.006617,            0.011009,           0.0011787,           0.0011787,           0.0011787
                  93,            0.015311,           0.0051983,           0.0032322,             0.90912,             0.91502,              0.9446,              0.8159,            0.013091,            0.006615,            0.010608,           0.0011414,           0.0011414,           0.0011414
                  94,            0.015148,           0.0053544,           0.0030474,             0.91437,             0.86857,             0.93955,             0.81068,            0.013251,           0.0065854,            0.012816,           0.0011084,           0.0011084,           0.0011084
                  95,            0.013944,           0.0054957,           0.0033611,               0.913,             0.91174,             0.95117,             0.82173,            0.013109,           0.0065278,           0.0097267,           0.0010797,           0.0010797,           0.0010797
                  96,            0.015443,           0.0051553,           0.0029425,             0.91468,             0.92334,             0.95198,             0.81957,            0.012822,           0.0064592,           0.0087782,           0.0010554,           0.0010554,           0.0010554
                  97,            0.014427,           0.0051483,           0.0024617,             0.93923,              0.9098,             0.93916,             0.80824,            0.013013,           0.0065928,             0.00794,           0.0010355,           0.0010355,           0.0010355
                  98,            0.015679,           0.0058265,           0.0023996,             0.93036,             0.91523,             0.93768,             0.80749,            0.013157,           0.0066911,           0.0079412,             0.00102,             0.00102,             0.00102
                  99,            0.014506,           0.0053923,           0.0025682,             0.95962,             0.88563,              0.9339,             0.81277,             0.01267,           0.0065274,           0.0080352,           0.0010089,           0.0010089,           0.0010089
